学問分野,大学グループ,2001(HC),2017(HC),変化率(HC),2001(FTE),2017(FTE),変化率(FTE)
全体,合計(兆円),3.23,3.64,12.69%,2.11,2.08,-1.40%
全体,1G,0.34,0.38,11.76%,0.27,0.3,11.10%
全体,2G,0.47,0.51,8.51%,0.33,0.32,-3.00%
全体,3G,0.42,0.45,7.14%,0.28,0.26,-7.10%
全体,4G,0.96,1.22,27.08%,0.62,0.7,12.90%
全体,その他G,1.04,1.09,4.81%,0.61,0.5,-18.00%
人文・社会学,合計(兆円),0.84,0.83,-1.19%,0.49,0.41,-16.30%
人文・社会学,1G,301,340,12.96%,205,202,-1.50%
人文・社会学,2G,893,890,-0.34%,561,480,-14.40%
人文・社会学,3G,334,325,-2.69%,206,136,-34.00%
人文・社会学,4G,1981,2499,26.15%,1206,1365,13.20%
人文・社会学,その他G,4868,4263,-12.43%,2785,1879,-32.50%
理学,合計(兆円),0.28,0.32,14.29%,0.23,0.25,8.70%
理学,1G,598,802,34.11%,485,655,35.10%
理学,2G,536,508,-5.22%,417,374,-10.30%
理学,3G,299,282,-5.69%,199,168,-15.60%
理学,4G,464,758,63.36%,308,519,68.50%
理学,その他G,932,894,-4.08%,869,767,-11.70%
工学,合計(兆円),0.75,0.73,-2.67%,0.53,0.47,-11.30%
工学,1G,1388,1316,-5.19%,1180,1036,-12.20%
工学,2G,1271,1530,20.38%,899,1083,20.50%
工学,3G,1066,975,-8.54%,746,632,-15.30%
工学,4G,2174,2136,-1.75%,1506,1343,-10.80%
工学,その他G,1553,1359,-12.49%,933,632,-32.30%
農学,合計(兆円),0.13,0.14,7.69%,0.09,0.09,0.00%
農学,1G,170,203,19.41%,130,153,17.70%
農学,2G,290,304,4.83%,207,204,-1.40%
農学,3G,307,318,3.58%,192,196,2.10%
農学,4G,483,508,5.18%,339,291,-14.20%
農学,その他G,41,60,46.34%,22,34,54.50%
保健,合計(兆円),0.86,1.19,38.37%,0.57,0.68,19.30%
保健,1G,789,1002,27.00%,617,811,31.40%
保健,2G,1414,1405,-0.64%,992,824,-16.90%
保健,3G,1879,2312,23.04%,1279,1322,3.40%
保健,4G,3930,5621,43.03%,2544,3167,24.50%
保健,その他G,569,1599,181.02%,278,639,129.90%
その他,合計(兆円),0.38,0.42,10.53%,0.2,0.19,-5.00%
その他,1G,137,169,23.36%,92,109,18.50%
その他,2G,340,433,27.35%,197,232,17.80%
その他,3G,295,286,-3.05%,163,137,-16.00%
その他,4G,576,645,11.98%,339,296,-12.70%
その他,その他G,2455,2675,8.96%,1211,1088,-10.20%