83  博士課程の状況別卒業者数  （ 8 － 1 ）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1   計  （1）  計,,,,,,,,,,,,,,,,,
区分,区分,区分,計,進学者,就職者等,就職者等,就職者等,就職者等,臨床研修医（予定者を含む）,専修学校・外国の学校等入学者,左記以外の者,不詳・死亡の者,（再掲）,（再掲）,（再掲）,卒業者のうち満期退学者（再掲）,就職者（再掲）（a，b，c，d）
区分,区分,区分,計,進学者,自営業主等（a）,常用労働者,常用労働者,臨時労働者,臨床研修医（予定者を含む）,専修学校・外国の学校等入学者,左記以外の者,不詳・死亡の者,左記「進学者」のうち就職している者（c）,左記「進学者」のうち就職している者（c）,左記有期雇用労働者のうち，雇用契約期間が一年以上，かつフルタイム勤務相当の者（d）,卒業者のうち満期退学者（再掲）,就職者（再掲）（a，b，c，d）
区分,区分,区分,計,進学者,自営業主等（a）,無期雇用労働者（b）,有期雇用労働者（雇用契約期間が一か月以上の者）,臨時労働者,臨床研修医（予定者を含む）,専修学校・外国の学校等入学者,左記以外の者,不詳・死亡の者,自営業主等，無期雇用労働者,雇用契約期間が一年以上，かつフルタイム勤務相当の者,左記有期雇用労働者のうち，雇用契約期間が一年以上，かつフルタイム勤務相当の者（d）,卒業者のうち満期退学者（再掲）,就職者（再掲）（a，b，c，d）
令和4年3月,計,計,15837,152,225,8029,3735,97,18,70,3244,267,13,21,2689,3353,10977
令和5年3月,計,計,15831,134,203,8113,3685,90,19,65,3379,143,11,9,2784,3369,11120
令和5年3月,人文科学,計,931,11,12,199,276,10,－,9,385,29,1,－,170,457,382
令和5年3月,人文科学,文学,181,2,1,32,61,1,－,1,81,2,－,－,30,77,63
令和5年3月,人文科学,史学,64,2,1,17,15,－,－,－,23,6,－,－,4,48,22
令和5年3月,人文科学,哲学,110,5,2,24,29,－,－,1,47,2,1,－,14,58,41
令和5年3月,人文科学,その他,576,2,8,126,171,9,－,7,234,19,－,－,122,274,256
令和5年3月,社会科学,計,878,5,22,330,168,6,－,2,304,41,－,－,117,326,469
令和5年3月,社会科学,法学・政治学,184,－,7,57,46,1,－,－,63,10,－,－,33,82,97
令和5年3月,社会科学,商学・経済学,344,2,11,144,60,1,－,1,108,17,－,－,32,112,187
令和5年3月,社会科学,社会学,125,－,1,51,25,2,－,－,46,－,－,－,22,55,74
令和5年3月,社会科学,その他,225,3,3,78,37,2,－,1,87,14,－,－,30,77,111
令和5年3月,理学,計,1300,6,6,543,414,5,－,7,314,5,－,－,324,226,873
令和5年3月,理学,数学,198,－,3,83,69,－,－,3,40,－,－,－,57,38,143
令和5年3月,理学,物理学,289,2,－,113,104,2,－,1,64,3,－,－,91,60,204
令和5年3月,理学,化学,184,1,－,82,48,－,－,1,52,－,－,－,41,20,123
令和5年3月,理学,生物,137,1,1,48,42,1,－,－,44,－,－,－,29,31,78
令和5年3月,理学,地学,108,2,1,43,30,1,－,－,31,－,－,－,26,21,70
令和5年3月,理学,原子力理学,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
令和5年3月,理学,その他,384,－,1,174,121,1,－,2,83,2,－,－,80,56,255
令和5年3月,工学,計,3293,24,29,1811,637,9,1,13,754,15,5,8,499,583,2352
令和5年3月,工学,機械工学,231,3,1,128,54,－,－,3,39,3,3,－,43,43,175
令和5年3月,工学,電気通信工学,519,5,9,296,93,2,1,2,107,4,1,3,81,90,390
令和5年3月,工学,土木・建築工学,292,5,3,143,63,2,－,2,72,2,1,1,49,56,197
令和5年3月,工学,応用化学,254,2,－,160,46,－,－,－,44,2,－,2,37,40,199
令和5年3月,工学,応用理学,35,1,－,17,12,－,－,－,5,－,－,－,10,6,27
令和5年3月,工学,原子力工学,14,－,－,9,3,－,－,－,2,－,－,－,1,3,10
令和5年3月,工学,鉱山学,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
令和5年3月,工学,金属工学,6,－,－,3,2,－,－,－,1,－,－,－,2,1,5
令和5年3月,工学,繊維工学,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
令和5年3月,工学,船舶工学,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
令和5年3月,工学,航空工学,63,1,1,39,10,－,－,－,12,－,－,－,10,6,50
令和5年3月,工学,経営工学,26,－,－,16,4,－,－,－,6,－,－,－,4,11,20
令和5年3月,工学,工芸学,1,－,－,－,－,－,－,－,－,1,－,－,－,1,－
令和5年3月,工学,その他,1852,7,15,1000,350,5,－,6,466,3,－,2,262,326,1279
令和5年3月,農学,計,793,12,11,328,179,4,－,3,254,2,－,1,151,143,491
令和5年3月,農学,農学,92,1,1,30,12,1,－,－,46,1,－,1,8,19,40
令和5年3月,農学,農芸化学,8,－,－,2,2,－,－,－,4,－,－,－,2,－,4
令和5年3月,農学,農業工学,15,－,－,4,2,－,－,－,9,－,－,－,2,4,6
令和5年3月,農学,農業経済学,25,－,－,9,6,－,－,－,10,－,－,－,3,6,12
令和5年3月,農学,林学,21,－,1,6,5,－,－,－,9,－,－,－,4,6,11
令和5年3月,農学,林産学,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
令和5年3月,農学,獣医学畜産学,129,2,2,65,26,1,－,2,31,－,－,－,24,18,91
令和5年3月,農学,水産学,45,2,1,17,10,－,－,－,15,－,－,－,9,7,27
令和5年3月,農学,その他,458,7,6,195,116,2,－,1,130,1,－,－,99,83,300
令和5年3月,保健,計,6025,62,76,3786,1357,40,18,24,642,20,3,－,1039,987,4904
令和5年3月,保健,医学,3727,45,24,2319,843,22,17,15,441,1,1,－,603,688,2947
令和5年3月,保健,歯学,734,7,41,374,251,12,－,2,47,－,－,－,218,56,633
令和5年3月,保健,薬学,563,－,2,408,90,－,－,5,56,2,－,－,81,47,491
令和5年3月,保健,その他,1001,10,9,685,173,6,1,2,98,17,2,－,137,196,833
令和5年3月,商船,計,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
令和5年3月,商船,商船学,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
令和5年3月,家政,計,44,1,－,29,8,1,－,－,5,－,－,－,7,8,36
令和5年3月,家政,家政学,2,－,－,1,1,－,－,－,－,－,－,－,1,－,2
令和5年3月,家政,食物学,24,－,－,21,2,－,－,－,1,－,－,－,2,3,23
令和5年3月,家政,被服学,4,－,－,2,－,－,－,－,2,－,－,－,－,2,2
令和5年3月,家政,住居学,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
令和5年3月,家政,児童学,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
令和5年3月,家政,その他,14,1,－,5,5,1,－,－,2,－,－,－,4,3,9
令和5年3月,教育,計,404,4,3,189,107,8,－,－,79,14,－,－,90,148,282
令和5年3月,教育,教育学,262,2,3,115,65,6,－,－,61,10,－,－,55,106,173
令和5年3月,教育,教員養成,57,－,－,41,9,－,－,－,7,－,－,－,5,17,46
令和5年3月,教育,体育学,83,2,－,31,33,2,－,－,11,4,－,－,30,25,61
令和5年3月,教育,その他,2,－,－,2,－,－,－,－,－,－,－,－,－,－,2
令和5年3月,芸術,計,124,－,19,19,24,－,－,3,59,－,－,－,8,23,46
令和5年3月,芸術,美術,43,－,10,3,12,－,－,－,18,－,－,－,6,6,19
令和5年3月,芸術,デザイン,3,－,－,2,－,－,－,－,1,－,－,－,－,－,2
令和5年3月,芸術,音楽,30,－,6,3,7,－,－,3,11,－,－,－,－,6,9
令和5年3月,芸術,その他,48,－,3,11,5,－,－,－,29,－,－,－,2,11,16
令和5年3月,その他,計,2039,9,25,879,515,7,－,4,583,17,2,－,379,468,1285
令和5年3月,その他,自然科学,513,4,5,210,152,1,－,－,140,1,－,－,120,119,335
令和5年3月,その他,社会・自然科学,144,－,2,65,32,－,－,－,45,－,－,－,25,32,92
令和5年3月,その他,人文・社会科学,321,2,2,109,72,1,－,1,123,11,1,－,48,126,160
令和5年3月,その他,その他,1061,3,16,495,259,5,－,3,275,5,1,－,186,191,698
1． この表は，大学院研究科（博士後期課程，一貫制博士課程）の卒業者を専攻分野により分類（付属資料 － 学科系統分類表による。）したものである。,,,,,,,,,,,,,,,,,
2． 「卒業者のうち満期退学者」とは，所定の年限以上在学し，所定の単位を修得したが，博士の学位を取らずに卒業した者をいう。,,,,,,,,,,,,,,,,,