73　関係学科別状況別卒業者数（14－1）,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1　計（1）計,,,,,,,,,,,,,,,,
区分,区分,区分,計,進学者,就職者等,就職者等,就職者等,就職者等,臨床研修医（予定者を含む）,専修学校・外国の学校等入学者,左記以外の者,不詳・死亡の者,（再掲）,（再掲）,（再掲）,就職者（再掲）（a，b，c，d）
区分,区分,区分,計,進学者,自営業主等（a）,常用労働者,常用労働者,臨時労働者,臨床研修医（予定者を含む）,専修学校・外国の学校等入学者,左記以外の者,不詳・死亡の者,左記「進学者」のうち就職している者（c）,左記「進学者」のうち就職している者（c）,左記有期雇用労働者のうち，雇用契約期間が一年以上，かつフルタイム勤務相当の者（d）,就職者（再掲）（a，b，c，d）
区分,区分,区分,計,進学者,自営業主等（a）,無期雇用労働者（b）,有期雇用労働者（雇用契約期間が一か月以上の者）,臨時労働者,臨床研修医（予定者を含む）,専修学校・外国の学校等入学者,左記以外の者,不詳・死亡の者,自営業主等，無期雇用労働者,雇用契約期間が一年以上，かつフルタイム勤務相当の者,左記有期雇用労働者のうち，雇用契約期間が一年以上，かつフルタイム勤務相当の者（d）,就職者（再掲）（a，b，c，d）
令和4年3月,計,計,590137,66976,5060,418255,23063,4058,10048,6130,55286,1261,166,53,16149,439683
令和5年3月,計,計,590162,68012,4780,427219,21735,3663,10075,5637,48642,399,86,92,15896,448073
令和5年3月,人文科学,計,82506,3693,568,63155,3899,929,－,1267,8897,98,3,4,2664,66394
令和5年3月,人文科学,文学,30628,793,197,23800,1538,387,－,469,3409,35,1,1,1041,25040
令和5年3月,人文科学,史学,5747,337,34,4279,374,27,－,58,635,3,－,－,264,4577
令和5年3月,人文科学,哲学,10887,1017,104,7685,471,182,－,207,1215,6,－,2,321,8112
令和5年3月,人文科学,その他,35244,1546,233,27391,1516,333,－,533,3638,54,2,1,1038,28665
令和5年3月,社会科学,計,191248,5382,1795,157889,4360,1150,－,1800,18730,142,16,5,2849,162554
令和5年3月,社会科学,法学・政治学,35967,2019,287,28716,643,211,－,299,3770,22,2,－,374,29379
令和5年3月,社会科学,商学・経済学,104465,1975,1133,87423,2187,653,－,990,10033,71,12,3,1372,89943
令和5年3月,社会科学,社会学,31790,834,220,25968,1073,211,－,355,3114,15,1,1,786,26976
令和5年3月,社会科学,その他,19026,554,155,15782,457,75,－,156,1813,34,1,1,317,16256
令和5年3月,理学,計,18189,8066,59,8211,571,72,－,108,1086,16,2,2,413,8687
令和5年3月,理学,数学,3719,1091,16,2037,267,27,－,17,257,7,1,－,196,2250
令和5年3月,理学,物理学,2489,1362,6,885,46,13,－,13,162,2,－,－,34,925
令和5年3月,理学,化学,2397,1373,4,836,35,10,－,11,125,3,－,－,27,867
令和5年3月,理学,生物学,2334,1068,5,1045,46,8,－,21,140,1,－,－,33,1083
令和5年3月,理学,地学,591,232,1,281,16,4,－,3,54,－,－,－,9,291
令和5年3月,理学,その他,6659,2940,27,3127,161,10,－,43,348,3,1,2,114,3271
令和5年3月,工学,計,87851,33949,350,48308,848,132,－,461,3776,27,8,6,555,49227
令和5年3月,工学,機械工学,13938,5943,45,7277,98,11,－,46,516,2,1,－,74,7397
令和5年3月,工学,電気通信工学,24273,8311,95,14419,225,26,－,92,1094,11,1,－,145,14660
令和5年3月,工学,土木建築工学,12341,3359,64,8299,79,24,－,63,445,8,2,1,49,8415
令和5年3月,工学,応用化学,7162,4040,14,2797,66,7,－,31,207,－,－,－,38,2849
令和5年3月,工学,応用理学,2086,1001,4,892,48,2,－,9,130,－,－,－,30,926
令和5年3月,工学,原子力工学,98,34,1,58,－,－,－,－,5,－,－,－,－,59
令和5年3月,工学,鉱山学,－,－,－,－,－,－,－,－,－,－,－,－,－,－
令和5年3月,工学,金属工学,2,－,－,－,－,－,－,－,2,－,－,－,－,－
令和5年3月,工学,繊維工学,69,55,－,10,1,－,－,1,2,－,－,－,1,11
令和5年3月,工学,船舶工学,68,36,－,26,－,－,－,1,5,－,－,－,－,26
令和5年3月,工学,航空工学,645,187,2,363,10,3,－,30,50,－,－,－,10,375
令和5年3月,工学,経営工学,1349,255,8,970,21,14,－,7,71,3,－,－,16,994
令和5年3月,工学,工芸学,636,47,10,500,18,3,－,13,45,－,－,－,11,521
令和5年3月,工学,その他,25184,10681,107,12697,282,42,－,168,1204,3,4,5,181,12994
令和5年3月,農学,計,17943,4806,153,11314,336,111,－,113,1110,－,1,1,244,11713
令和5年3月,農学,農学,2372,684,23,1443,43,17,－,20,142,－,－,－,32,1498
令和5年3月,農学,農芸化学,1485,456,6,935,13,2,－,9,64,－,－,－,7,948
令和5年3月,農学,農業工学,622,88,8,473,7,5,－,2,39,－,－,－,6,487
令和5年3月,農学,農業経済学,590,61,4,486,3,4,－,3,29,－,－,－,1,491
令和5年3月,農学,林学,372,125,1,217,4,1,－,1,23,－,－,－,3,221
令和5年3月,農学,林産学,－,－,－,－,－,－,－,－,－,－,－,－,－,－
令和5年3月,農学,獣医学畜産学,2088,202,17,1545,74,31,－,9,210,－,1,1,60,1624
令和5年3月,農学,水産学,1608,556,9,896,35,9,－,17,86,－,－,－,23,928
令和5年3月,農学,その他,8806,2634,85,5319,157,42,－,52,517,－,－,－,112,5516
令和5年3月,保健,計,68892,3690,99,48082,1766,119,10075,428,4627,6,52,64,1533,49830
令和5年3月,保健,医学,9288,43,2,20,6,－,8659,4,554,－,1,－,5,28
令和5年3月,保健,歯学,1989,13,－,31,1,－,1416,8,520,－,－,－,1,32
令和5年3月,保健,薬学,11120,1188,12,8200,156,2,－,131,1430,1,1,11,147,8371
令和5年3月,保健,看護学,22372,900,3,20120,678,26,－,117,525,3,1,39,609,20772
令和5年3月,保健,その他,24123,1546,82,19711,925,91,－,168,1598,2,49,14,771,20627
令和5年3月,商船,計,116,54,－,54,－,－,－,－,8,－,－,－,－,54
令和5年3月,商船,商船学,116,54,－,54,－,－,－,－,8,－,－,－,－,54
令和5年3月,家政,計,17324,493,61,14728,856,132,－,118,934,2,1,1,722,15513
令和5年3月,家政,家政学,4682,97,12,3981,242,25,－,43,281,1,－,－,205,4198
令和5年3月,家政,食物学,9371,278,21,8262,358,41,－,37,373,1,1,1,307,8592
令和5年3月,家政,被服学,1473,24,24,1039,107,47,－,29,203,－,－,－,78,1141
令和5年3月,家政,住居学,298,47,－,218,6,5,－,4,18,－,－,－,6,224
令和5年3月,家政,児童学,1344,11,4,1124,142,11,－,4,48,－,－,－,125,1253
令和5年3月,家政,その他,156,36,－,104,1,3,－,1,11,－,－,－,1,105
令和5年3月,教育,計,44883,2158,195,33988,5861,228,－,315,2113,25,2,2,4586,38773
令和5年3月,教育,教育学,10369,426,31,7914,1382,55,－,64,491,6,1,－,1103,9049
令和5年3月,教育,小学校課程,2700,179,8,2020,383,4,－,9,97,－,－,－,265,2293
令和5年3月,教育,中学校課程,79,9,－,59,6,－,－,－,5,－,－,－,4,63
令和5年3月,教育,高等学校課程,－,－,－,－,－,－,－,－,－,－,－,－,－,－
令和5年3月,教育,特別教科課程,－,－,－,－,－,－,－,－,－,－,－,－,－,－
令和5年3月,教育,盲学校課程,－,－,－,－,－,－,－,－,－,－,－,－,－,－
令和5年3月,教育,聾学校課程,－,－,－,－,－,－,－,－,－,－,－,－,－,－
令和5年3月,教育,中等教育学校課程,987,89,1,629,215,1,－,5,47,－,－,－,128,758
令和5年3月,教育,養護学校課程,7,－,－,4,3,－,－,－,－,－,－,－,2,6
令和5年3月,教育,幼稚園課程,2,－,－,2,－,－,－,－,－,－,－,－,－,2
令和5年3月,教育,体育学,8714,336,70,6322,1196,99,－,117,565,9,1,2,906,7301
令和5年3月,教育,障害児教育課程,－,－,－,－,－,－,－,－,－,－,－,－,－,－
令和5年3月,教育,特別支援教育課程,258,19,－,194,37,－,－,1,7,－,－,－,29,223
令和5年3月,教育,その他,21767,1100,85,16844,2639,69,－,119,901,10,－,－,2149,19078
令和5年3月,芸術,計,16964,1574,1108,8712,1428,405,－,401,3333,3,1,6,1056,10883
令和5年3月,芸術,美術,2855,425,191,1305,205,48,－,59,620,2,－,－,135,1631
令和5年3月,芸術,デザイン,4149,191,167,2607,242,59,－,59,824,－,－,－,160,2934
令和5年3月,芸術,音楽,3595,612,407,1250,495,104,－,143,584,－,－,6,365,2028
令和5年3月,芸術,その他,6365,346,343,3550,486,194,－,140,1305,1,1,－,396,4290
令和5年3月,その他,計,44246,4147,392,32778,1810,385,－,626,4028,80,－,1,1274,34445
令和5年3月,その他,教養学,1478,98,9,1101,57,19,－,35,158,1,－,－,29,1139
令和5年3月,その他,総合科学,130,28,2,90,1,1,－,－,8,－,－,－,1,93
令和5年3月,その他,人文・社会科学,7925,246,38,6207,330,90,－,114,895,5,－,－,226,6471
令和5年3月,その他,国際関係学（国際関係学部）,3972,107,37,3132,134,28,－,99,434,1,－,－,83,3252
令和5年3月,その他,人間関係科学,3880,130,61,2982,355,20,－,78,234,20,－,－,244,3287
令和5年3月,その他,その他,26861,3538,245,19266,933,227,－,300,2299,53,－,1,691,20203
この表は，大学学部の卒業者を卒業した関係学科により分類（付属資料 － 学科系統分類表による。）したものである。,,,,,,,,,,,,,,,,